Data for the current Ebola outbreak!
Population Size: 100
Vaccination Percentage: 0.9
Virus: Ebola
Virus' Mortality Rate: 0.25
Basic Reproduction Number: 0.7

0 infected 81.
1 infected 14.
2 infected 3.
3 infected 14.
4 infected 87.
5 infected 95.
6 infected 70.
7 infected 12.
8 infected 76.
9 infected 55.
0 infected 5.
1 infected 4.
2 infected 90.
3 infected 70.
4 infected 54.
5 infected 29.
6 infected 58.
7 infected 76.
8 infected 36.
9 infected 104.
0 infected 0.
1 infected 36.
2 infected 20.
3 infected 28.
4 infected 98.
5 infected 44.
6 infected 14.
7 infected 12.
8 infected 49.
9 infected 13.
0 infected 46.
1 infected 109.
2 infected 59.
3 infected 69.
4 infected 16.
5 infected 49.
6 infected 11.
7 infected 71.
8 infected 38.
9 infected 107.
0 infected 81.
1 infected 80.
2 infected 47.
3 infected 74.
4 infected 25.
5 infected 91.
6 infected 9.
7 infected 11.
8 infected 30.
9 infected 13.
0 infected 49.
1 infected 36.
2 infected 59.
3 infected 82.
4 infected 107.
5 infected 47.
6 infected 21.
7 infected 48.
8 infected 46.
9 infected 27.
0 infected 86.
1 infected 35.
2 infected 90.
3 infected 88.
4 infected 83.
5 infected 10.
6 infected 78.
7 infected 82.
8 infected 22.
9 infected 69.
0 infected 94.
1 infected 32.
2 infected 21.
3 infected 60.
4 infected 49.
5 infected 35.
6 infected 82.
7 infected 89.
8 infected 72.
9 infected 29.
0 infected 88.
1 infected 42.
2 infected 108.
3 infected 104.
4 infected 41.
5 infected 52.
6 infected 35.
7 infected 9.
8 infected 28.
9 infected 73.
0 infected 92.
1 infected 41.
2 infected 28.
3 infected 84.
4 infected 64.
5 infected 51.
6 infected 83.
7 infected 59.
8 infected 19.
9 infected 34.
0 infected 18.
1 infected 32.
2 infected 96.
3 infected 72.
4 infected 69.
5 infected 34.
6 infected 96.
7 infected 75.
8 infected 55.
9 infected 75.
0 infected 52.
1 infected 47.
2 infected 29.
3 infected 18.
4 infected 66.
5 infected 64.
6 infected 12.
7 infected 97.
8 infected 7.
9 infected 89.
0 infected 56.
1 infected 78.
2 infected 10.
3 infected 51.
4 infected 50.
5 infected 78.
6 infected 61.
7 infected 69.
8 infected 34.
9 infected 72.
0 infected 1.
1 infected 98.
2 infected 36.
3 infected 100.
4 infected 84.
5 infected 45.
6 infected 16.
7 infected 39.
8 infected 57.
9 infected 22.
0 infected 60.
1 infected 0.
2 infected 94.
3 infected 94.
4 infected 35.
5 infected 66.
6 infected 99.
7 infected 24.
8 infected 66.
9 infected 15.
0 infected 82.
1 infected 40.
2 infected 83.
3 infected 66.
4 infected 79.
5 infected 27.
6 infected 21.
7 infected 49.
8 infected 99.
9 infected 22.
0 infected 71.
1 infected 101.
2 infected 69.
3 infected 0.
4 infected 78.
5 infected 43.
6 infected 64.
7 infected 2.
8 infected 105.
9 infected 41.
0 infected 32.
1 infected 9.
2 infected 32.
3 infected 74.
4 infected 12.
5 infected 12.
6 infected 95.
7 infected 64.
8 infected 106.
9 infected 10.
0 infected 99.
1 infected 70.
2 infected 100.
3 infected 18.
4 infected 18.
5 infected 86.
6 infected 62.
7 infected 72.
8 infected 23.
